PERMNO,date,TICKER,PRC,RET
10107,20180131,MSFT,95.01000,0.110708
10107,20180228,MSFT,93.77000,-0.008631
10107,20180329,MSFT,91.27000,-0.026661
10107,20180430,MSFT,93.52000,0.024652
10107,20180531,MSFT,98.84000,0.061377
10107,20180629,MSFT,98.61000,-0.002327
10107,20180731,MSFT,106.08000,0.075753
10107,20180831,MSFT,112.33000,0.062877
10107,20180928,MSFT,114.37000,0.018161
10107,20181031,MSFT,106.81000,-0.066101
10107,20181130,MSFT,110.89000,0.042505
10107,20181231,MSFT,101.57000,-0.084047
12490,20090130,IBM,91.65000,0.088997
12490,20090227,IBM,92.03000,0.009602
12490,20090331,IBM,96.89000,0.052809
12490,20090430,IBM,103.21000,0.065229
12490,20090529,IBM,106.28000,0.035074
12490,20090630,IBM,104.42000,-0.017501
12490,20090731,IBM,117.93000,0.129381
12490,20090831,IBM,118.05000,0.005681
12490,20090930,IBM,119.61000,0.013215
12490,20091030,IBM,120.61000,0.008361
12490,20091130,IBM,126.35000,0.052152
12490,20091231,IBM,130.89999,0.036011
12490,20100129,IBM,122.39000,-0.065011
12490,20100226,IBM,127.16000,0.043468
12490,20100331,IBM,128.25000,0.008572
12490,20100430,IBM,129.00000,0.005848
12490,20100528,IBM,125.26000,-0.023953
12490,20100630,IBM,123.48000,-0.014210
12490,20100730,IBM,128.39999,0.039844
12490,20100831,IBM,123.13000,-0.035981
12490,20100930,IBM,134.14000,0.089418
12490,20101029,IBM,143.60001,0.070523
12490,20101130,IBM,141.46001,-0.010376
12490,20101231,IBM,146.75999,0.037466
12490,20110131,IBM,162.00000,0.103843
12490,20110228,IBM,161.88000,0.003272
12490,20110331,IBM,163.07001,0.007351
12490,20110429,IBM,170.58000,0.046054
12490,20110531,IBM,168.92999,-0.005276
12490,20110630,IBM,171.55000,0.015509
12490,20110729,IBM,181.85001,0.060041
12490,20110831,IBM,171.91000,-0.050536
12490,20110930,IBM,174.87000,0.017218
12490,20111031,IBM,184.63000,0.055813
12490,20111130,IBM,188.00000,0.022315
12490,20111230,IBM,183.88000,-0.021915
12490,20120131,IBM,192.60001,0.047422
12490,20120229,IBM,196.73000,0.025337
12490,20120330,IBM,208.64999,0.060591
12490,20120430,IBM,207.08000,-0.007525
12490,20120531,IBM,192.89999,-0.064371
12490,20120629,IBM,195.58000,0.013893
12490,20120731,IBM,195.98000,0.002045
12490,20120831,IBM,194.85001,-0.001429
12490,20120928,IBM,207.45000,0.064665
12490,20121031,IBM,194.53000,-0.062280
12490,20121130,IBM,190.07001,-0.018558
12490,20121231,IBM,191.55000,0.007787
12490,20130131,IBM,203.07001,0.060141
12490,20130228,IBM,200.83000,-0.006845
12490,20130328,IBM,213.30000,0.062092
12490,20130430,IBM,202.53999,-0.050445
12490,20130531,IBM,208.02000,0.031747
12490,20130628,IBM,191.11000,-0.081290
12490,20130731,IBM,195.03999,0.020564
12490,20130830,IBM,182.27000,-0.060603
12490,20130930,IBM,185.17999,0.015965
12490,20131031,IBM,179.21001,-0.032239
12490,20131129,IBM,179.67999,0.007924
12490,20131231,IBM,187.57001,0.043911
12490,20140131,IBM,176.67999,-0.058058
12490,20140228,IBM,185.17000,0.053430
12490,20140331,IBM,192.49001,0.039531
12490,20140430,IBM,196.47000,0.020676
12490,20140530,IBM,184.36000,-0.056039
